word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
pensilvania	9825	-12.09	0	0	1810	287	0	0	0	11
nicaragua	9822	-10.0	0	0	435	49	0	0	0	9
walter	9820	-7.61	2	4	122	35	0	0	0	6
estrenada	9811	-8.35	0	0	1421	411	0	0	0	9
supuso	9806	-6.84	0	0	1300	274	0	0	0	6
mencionado	9805	-6.94	0	0	1238	210	0	0	0	10
duro	9799	-5.25	10	13	1263	49	0	0	0	4
herrera	9796	-7.84	2	2	556	109	0	0	0	7
bloque	9795	-7.34	0	2	691	30	0	0	0	6
monedas	9785	-7.0	0	1	1238	238	0	0	0	7
comienzan	9778	-7.8	0	0	2537	1146	0	0	0	9
leche	9775	-6.27	2	2	673	122	0	0	0	5
quince	9772	-6.68	0	0	90	87	0	0	0	6
siguieron	9772	-8.62	0	0	1300	174	0	0	0	9
inversión	9772	-7.16	0	0	818	551	0	0	0	9
quizás	9767	-7.75	0	1	90	87	0	0	0	6
cantidades	9764	-8.73	0	0	2537	550	0	0	0	10
elevado	9764	-6.24	4	5	1421	100	0	0	0	7
volúmenes	9761	-8.73	0	0	605	57	0	0	0	9
valles	9761	-5.62	6	7	605	110	0	0	0	6
largas	9755	-6.24	8	9	673	119	0	0	0	6
visitantes	9752	-8.66	0	0	605	219	0	0	0	10
occidentales	9748	-10.91	0	0	473	63	0	0	0	12
carbono	9746	-8.31	0	0	2537	550	0	0	0	7
herramientas	9746	-9.99	0	0	556	109	0	0	0	12
necesaria	9737	-9.71	0	0	435	88	0	0	0	9
hill	9737	-4.8	16	17	556	82	0	0	0	4
largos	9736	-6.42	4	7	673	119	0	0	0	6
fundamentalmente	9734	-11.66	0	0	756	91	0	0	0	16
adn	9731	-6.08	12	15	1894	128	0	0	0	3
literario	9731	-9.26	0	0	673	165	0	0	0	9
transformación	9729	-10.49	0	0	880	258	0	0	0	14
tony	9726	-6.25	6	6	880	118	0	0	0	4
consideraba	9722	-9.49	0	0	2537	1146	0	0	0	11
from	9718	-6.31	0	1	756	119	0	0	0	4
imposible	9711	-9.9	0	0	818	89	0	0	0	9
fans	9706	-5.76	8	9	756	134	0	0	0	4
afirmó	9703	-7.3	2	3	1894	54	0	0	0	6
tendría	9698	-6.59	2	3	880	218	0	0	0	7
sergio	9695	-7.12	2	3	1300	271	0	0	0	6
ocupado	9695	-7.21	2	4	473	63	0	0	0	7
cultivos	9690	-6.37	0	1	2537	160	0	0	0	8
católico	9689	-8.7	0	0	2537	550	0	0	0	8
símbolos	9685	-8.88	0	1	1300	12	0	0	0	8
barroco	9677	-7.97	2	3	691	202	0	0	0	7
industriales	9674	-11.15	0	0	818	551	0	0	0	12
rebeldes	9674	-8.57	0	1	1162	747	0	0	0	8
dúo	9672	-5.13	6	7	1263	1	0	0	0	3
inmigrantes	9669	-10.49	0	0	818	551	0	0	0	11
inmediato	9669	-9.31	0	0	818	551	0	0	0	9
up	9666	-5.42	42	45	177	3	3	3	3	2
buscando	9665	-7.44	0	1	691	65	0	0	0	8
patio	9663	-5.55	2	4	1810	362	0	0	0	5
cuartos	9656	-6.56	2	3	2537	160	0	0	0	7
ruinas	9655	-6.7	2	3	1162	46	0	0	0	6
ucrania	9655	-9.45	0	0	177	7	0	0	0	7
sal	9653	-3.51	26	33	1300	211	0	0	0	3
trabajado	9651	-7.35	0	0	880	258	0	0	0	9
archipiélago	9650	-14.6	0	0	1894	188	0	0	0	12
circunstancias	9649	-14.9	0	0	2537	116	0	0	0	14
frutos	9649	-5.98	2	3	756	119	0	0	0	6
pena	9648	-4.64	18	22	1810	287	0	0	0	4
magnitud	9647	-8.71	0	0	1238	430	0	0	0	8
incremento	9638	-9.08	0	0	818	551	0	0	0	10
tumba	9635	-6.49	0	1	880	47	0	0	0	5
residentes	9630	-7.89	0	0	1162	747	0	0	0	10
cien	9630	-4.78	6	6	2537	116	0	0	0	4
ropa	9628	-5.81	20	23	1162	153	0	0	0	4
gutiérrez	9624	-13.55	0	0	571	81	0	0	0	9
vendió	9622	-6.41	2	2	605	173	0	0	0	6
penal	9620	-5.59	6	7	1810	287	0	0	0	5
videojuego	9611	-12.72	0	0	605	219	0	0	0	10
poseía	9611	-7.16	0	1	1810	224	0	0	0	6
presupuesto	9609	-9.96	0	0	1810	579	0	0	0	11
gregorio	9609	-8.76	0	0	571	116	0	0	0	8
caballeros	9607	-9.26	0	0	2537	550	0	0	0	10
tripulación	9604	-9.09	0	0	880	258	0	0	0	11
vocal	9603	-6.0	2	2	605	57	0	0	0	5
elenco	9603	-6.96	0	0	1421	100	0	0	0	6
pasión	9602	-5.12	0	0	1810	362	0	0	0	6
existente	9600	-6.81	0	0	1421	236	0	0	0	9
cierre	9599	-7.08	4	4	2537	116	0	0	0	6
asistió	9598	-7.94	2	2	1894	137	0	0	0	7
conocimientos	9595	-10.24	0	0	2537	1146	0	0	0	13
supuesto	9593	-7.34	0	0	1300	274	0	0	0	8
típico	9579	-7.08	2	3	880	11	0	0	0	6
ayudó	9577	-6.03	4	4	1894	18	0	0	0	5
intercambio	9572	-9.81	0	0	818	551	0	0	0	11
