word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
luke	508	-5.84	8	8	895	118	0	0	0	4
ekonomikoak	507	-9.63	0	0	2102	107	0	0	0	11
zor	507	-4.84	18	19	731	25	0	0	0	3
eten	507	-4.47	6	8	2102	104	0	0	0	4
ohikoak	507	-7.0	0	1	650	28	0	0	0	7
historialari	506	-10.78	0	0	1177	238	0	0	0	12
oinordeko	506	-8.87	0	0	650	49	0	0	0	9
tourra	506	-6.6	0	0	715	93	0	0	0	6
atlantikoak	506	-9.96	0	0	2248	128	0	0	0	11
zerikusia	506	-9.0	0	0	731	234	0	0	0	9
hiriburuko	506	-8.76	0	0	1177	238	0	0	0	10
jasotako	506	-7.63	0	0	455	259	0	0	0	8
hauei	506	-7.03	6	6	1177	388	0	0	0	5
ingalaterran	505	-10.73	0	0	1136	287	0	0	0	12
dokumentu	505	-9.0	0	0	780	101	0	0	0	9
laurogeita	505	-11.75	0	0	895	282	0	0	0	10
erako	505	-3.69	4	8	2102	647	0	0	0	5
hirurehun	505	-11.53	0	0	1177	238	0	0	0	9
ville	505	-5.72	6	7	159	69	0	0	0	5
pertsonaiak	504	-11.32	0	0	1002	116	0	0	0	11
hasita	504	-6.41	0	1	1177	388	0	0	0	6
zibilean	504	-7.49	0	2	731	186	0	0	0	8
jatorrian	504	-8.42	0	0	455	259	0	0	0	9
mugimenduaren	503	-10.8	0	0	1153	174	0	0	0	13
nekazari	503	-9.48	0	0	460	100	0	0	0	8
zuberoako	503	-8.57	0	0	731	120	0	0	0	9
satelite	503	-8.74	0	0	929	272	0	0	0	8
sir	503	-5.67	12	13	929	106	0	0	0	3
banatua	503	-6.45	2	5	1694	559	0	0	0	7
musikagilea	503	-10.92	0	0	1153	174	0	0	0	11
pont	503	-5.43	12	14	1002	168	0	0	0	4
prestatzen	503	-7.47	0	0	1002	219	0	0	0	10
nagusitasuna	502	-10.97	0	0	460	192	0	0	0	12
kudeatzen	502	-9.31	0	0	993	52	0	0	0	9
super	502	-6.17	2	2	929	116	0	0	0	5
aplikazio	502	-9.67	0	0	2248	78	0	0	0	9
koroa	502	-5.78	8	9	993	447	0	0	0	5
idazteko	501	-6.86	0	0	1136	59	0	0	0	8
ziklo	501	-7.82	0	1	731	186	0	0	0	5
abiatzen	501	-7.13	0	0	2248	111	0	0	0	8
ramon	501	-7.16	4	5	182	31	0	0	0	5
prest	501	-5.87	8	9	1002	219	0	0	0	5
bizitzen	500	-5.9	0	0	1694	351	0	0	0	8
kultur	500	-7.27	0	1	993	52	0	0	0	6
artiodaktiloen	500	-17.62	0	0	2248	475	0	0	0	14
horrelako	500	-8.1	0	0	1177	201	0	0	0	9
eusten	500	-5.23	2	2	2102	83	0	0	0	6
populazio	499	-8.97	0	0	1002	168	0	0	0	9
ikusteko	499	-7.19	0	0	1136	102	0	0	0	8
elkarrizketa	499	-10.2	0	0	2102	137	0	0	0	12
baititu	499	-7.02	0	0	1694	559	0	0	0	7
gard	499	-4.95	8	10	1179	409	0	0	0	4
metrora	498	-8.02	0	1	1153	257	0	0	0	7
txikiena	498	-7.75	0	1	715	120	0	0	0	8
kimiko	498	-6.66	4	5	993	57	0	0	0	6
badia	498	-4.68	2	7	1694	559	0	0	0	5
aztertzeko	498	-7.59	0	0	2248	103	0	0	0	10
mintzatzen	497	-7.15	0	0	1153	142	0	0	0	10
soziala	497	-7.22	0	2	929	148	0	0	0	7
baitago	497	-7.28	2	2	1694	559	0	0	0	7
harria	497	-4.5	10	14	1177	388	0	0	0	6
antolaketa	497	-9.68	0	0	2248	212	0	0	0	10
dadin	497	-6.11	0	1	780	136	0	0	0	5
aipatzekoak	497	-9.28	0	0	2248	92	0	0	0	11
printze	496	-7.31	0	1	1002	219	0	0	0	7
folk	496	-7.76	0	0	478	62	0	0	0	4
st	496	-4.33	26	30	929	33	33	33	33	2
modernoa	495	-8.43	0	1	1153	183	0	0	0	8
kontrolatzen	495	-9.95	0	0	993	447	0	0	0	12
u	495	-4.3	0	19	383	383	383	383	383	1
egunero	495	-7.68	4	4	2102	172	0	0	0	7
daniel	495	-9.13	0	0	780	136	0	0	0	6
hondakinak	495	-9.09	0	0	1177	201	0	0	0	10
anaiak	495	-6.96	2	3	2248	212	0	0	0	6
landaredia	494	-9.27	0	0	895	282	0	0	0	10
italieraz	494	-9.72	0	0	1136	124	0	0	0	9
eskailera	494	-7.87	0	0	2102	383	0	0	0	9
talka	494	-6.33	0	1	715	92	0	0	0	5
neurriak	493	-7.26	0	1	460	100	0	0	0	8
latinezko	493	-8.38	0	0	895	282	0	0	0	9
alorrean	493	-7.74	0	0	2248	312	0	0	0	8
ingeniaritza	493	-11.21	0	0	1136	287	0	0	0	12
microhylidae	493	-12.3	0	0	1153	142	0	0	0	12
iragarri	493	-7.24	0	0	1136	199	0	0	0	8
printzea	493	-7.2	0	1	1002	219	0	0	0	8
potentzia	492	-8.31	0	0	1002	168	0	0	0	9
