word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
screened	14932	-7.79	0	0	2051	114	0	0	0	8
reflection	14930	-7.8	0	0	1209	698	0	0	0	10
inscriptions	14929	-10.57	0	0	747	469	0	0	0	12
clusters	14927	-6.87	0	1	1993	136	0	0	0	8
flank	14924	-5.72	6	7	845	100	0	0	0	5
hastings	14923	-7.26	0	0	713	211	0	0	0	8
terrace	14918	-7.5	0	1	953	155	0	0	0	7
productive	14918	-7.55	0	0	1506	440	0	0	0	10
immune	14917	-6.97	0	0	747	87	0	0	0	6
assuming	14916	-7.81	0	0	1427	113	0	0	0	8
shire	14915	-5.12	10	12	2051	183	0	0	0	5
educator	14915	-9.49	0	0	905	40	0	0	0	8
descriptions	14913	-10.12	0	0	1141	409	0	0	0	12
complications	14912	-8.49	0	0	1993	876	0	0	0	13
duet	14912	-6.32	8	11	1141	64	0	0	0	4
mood	14907	-4.94	14	16	1197	231	0	0	0	4
spreading	14906	-8.05	0	0	2051	178	0	0	0	9
halt	14906	-5.21	16	19	713	211	0	0	0	4
tibet	14902	-7.41	0	0	953	62	0	0	0	5
cultivated	14902	-8.35	0	0	1993	77	0	0	0	10
wimbledon	14902	-10.76	0	0	537	123	0	0	0	9
vocational	14899	-8.42	0	0	353	51	0	0	0	10
prints	14897	-5.36	4	5	1506	440	0	0	0	6
lang	14895	-4.08	28	33	716	172	0	0	0	4
guatemala	14892	-10.69	0	0	626	82	0	0	0	9
documentation	14892	-10.5	0	0	1141	142	0	0	0	13
apostolic	14889	-10.15	0	0	1427	81	0	0	0	9
xbox	14889	-6.53	0	1	19	1	0	0	0	4
collision	14888	-7.41	0	0	1993	876	0	0	0	9
mega	14886	-5.96	10	13	1197	188	0	0	0	4
operas	14883	-7.22	0	1	452	56	0	0	0	6
ana	14882	-4.28	42	51	1427	165	0	0	0	3
anticipated	14881	-9.96	0	0	1427	165	0	0	0	11
electorate	14879	-9.33	0	0	905	93	0	0	0	10
cbc	14873	-4.67	20	23	1993	6	0	0	0	3
geoffrey	14872	-9.61	0	0	626	94	0	0	0	8
albion	14871	-7.19	0	0	1427	150	0	0	0	6
deliberately	14867	-11.77	0	0	1141	409	0	0	0	12
selective	14867	-7.97	0	0	2051	247	0	0	0	9
regards	14866	-6.23	2	3	1209	698	0	0	0	7
mercedes	14864	-9.09	0	0	1197	188	0	0	0	8
inning	14858	-5.51	0	2	747	469	0	0	0	6
succeeding	14848	-9.8	0	0	2051	272	0	0	0	10
steal	14843	-5.73	4	6	2051	326	0	0	0	5
precipitation	14842	-10.97	0	0	1506	440	0	0	0	13
pipeline	14838	-9.88	0	0	1506	97	0	0	0	8
bengali	14836	-9.99	2	3	1130	203	0	0	0	7
anthropology	14834	-11.56	0	0	1427	165	0	0	0	12
mobility	14833	-7.82	0	0	1197	231	0	0	0	8
jeffrey	14828	-9.27	0	0	260	46	0	0	0	7
cleaning	14826	-7.47	0	1	1993	136	0	0	0	8
combines	14823	-6.99	0	1	1993	876	0	0	0	8
belle	14822	-4.86	6	8	1130	203	0	0	0	5
aging	14820	-4.89	0	1	1427	31	0	0	0	5
holly	14817	-4.47	10	12	713	157	0	0	0	5
consumed	14814	-6.86	0	1	1993	876	0	0	0	8
columnist	14812	-9.16	0	0	1993	876	0	0	0	9
photographic	14809	-12.56	0	0	1506	69	0	0	0	12
frost	14808	-5.8	2	2	845	120	0	0	0	5
decisive	14807	-8.58	0	0	1141	409	0	0	0	8
kiev	14806	-6.78	2	2	247	62	0	0	0	4
est	14802	-4.22	8	21	905	48	0	0	0	3
ribbon	14802	-7.7	0	0	1209	87	0	0	0	6
coordination	14801	-9.98	0	0	1993	876	0	0	0	12
matching	14798	-6.49	0	0	1197	426	0	0	0	8
transaction	14798	-9.27	0	0	953	241	0	0	0	11
decommissioned	14796	-11.77	0	0	1141	409	0	0	0	14
davidson	14790	-9.27	0	0	1141	105	0	0	0	8
saga	14789	-5.77	12	12	2051	183	0	0	0	4
rapids	14785	-7.6	0	2	1209	157	0	0	0	6
ensuing	14780	-7.31	0	1	905	162	0	0	0	7
newark	14779	-7.0	0	0	475	120	0	0	0	6
flame	14768	-6.15	4	6	845	100	0	0	0	5
incorporates	14767	-11.96	0	0	747	469	0	0	0	12
bet	14761	-3.93	42	54	1130	203	0	0	0	3
haiti	14759	-7.64	0	0	713	211	0	0	0	5
clyde	14758	-8.14	2	2	1993	136	0	0	0	5
sara	14753	-5.71	16	19	2051	183	0	0	0	4
engaging	14753	-8.87	0	0	905	162	0	0	0	8
spa	14752	-4.59	16	21	2051	178	0	0	0	3
swim	14752	-5.82	4	5	2051	42	0	0	0	4
antenna	14747	-8.13	0	1	1427	165	0	0	0	7
extant	14745	-6.43	2	2	905	212	0	0	0	6
tertiary	14738	-9.09	0	0	953	155	0	0	0	8
