word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
utuh	780	-5.47	2	3	234	19	0	0	0	4
seputar	780	-7.05	0	0	1798	509	0	0	0	7
pandai	780	-6.14	8	10	2240	359	0	0	0	6
netral	780	-7.29	0	0	424	74	0	0	0	6
dinobatkan	780	-9.39	0	0	1545	1013	0	0	0	10
diponegoro	779	-11.33	0	0	1545	1013	0	0	0	10
development	779	-13.45	0	0	1545	179	0	0	0	11
dijadwalkan	779	-10.3	0	0	1545	1013	0	0	0	11
bata	778	-4.25	44	51	1627	341	0	0	0	4
angkat	778	-5.62	4	8	1084	197	0	0	0	6
arts	778	-5.44	12	14	1084	113	0	0	0	4
taktik	777	-6.31	2	2	1272	243	0	0	0	6
langkat	777	-6.25	6	8	646	192	0	0	0	7
otomotif	777	-9.33	0	0	238	20	0	0	0	8
celah	777	-5.41	8	8	699	70	0	0	0	5
coba	777	-5.49	10	11	699	157	0	0	0	4
pujian	777	-6.44	2	3	2240	105	0	0	0	6
im	776	-3.7	72	85	443	30	30	30	30	2
mesjid	776	-8.38	2	2	2321	1359	0	0	0	6
kelenjar	776	-7.69	0	0	1667	655	0	0	0	8
jenazah	775	-8.41	0	0	385	73	0	0	0	7
keanggotaan	775	-11.47	0	0	1667	655	0	0	0	11
perpanjangan	775	-9.75	0	0	2240	1205	0	0	0	12
topeng	775	-5.86	0	0	1272	98	0	0	0	6
keramik	775	-7.28	0	0	1667	655	0	0	0	7
pp	774	-4.39	80	90	2240	5	5	5	5	2
dokumenter	774	-10.38	0	0	1545	73	0	0	0	10
penggunaannya	773	-9.01	0	0	2240	1205	0	0	0	13
kru	773	-4.75	14	18	1667	59	0	0	0	3
ilahi	772	-6.89	0	0	443	18	0	0	0	5
adi	772	-4.49	38	55	1084	59	0	0	0	3
albania	771	-8.13	0	0	1084	136	0	0	0	7
juventus	771	-8.59	0	0	385	71	0	0	0	8
left	771	-7.13	2	3	646	147	0	0	0	4
lempeng	771	-6.3	2	2	646	147	0	0	0	7
npsn	771	-8.22	0	0	424	1	0	0	0	4
nanti	771	-5.77	8	10	424	134	0	0	0	5
television	770	-9.89	0	0	1272	506	0	0	0	10
runner	770	-7.98	0	0	707	72	0	0	0	6
investor	770	-8.96	0	0	443	187	0	0	0	8
hamba	770	-5.75	6	8	574	197	0	0	0	5
orangtuanya	769	-11.21	0	0	238	57	0	0	0	11
hatinya	769	-6.13	4	4	574	197	0	0	0	7
persenjataan	769	-10.3	0	0	2240	1205	0	0	0	12
menyangkut	769	-7.94	0	0	2321	1359	0	0	0	10
menurutnya	769	-7.93	0	0	2321	1359	0	0	0	10
lapis	769	-6.19	4	4	646	192	0	0	0	5
subspesies	769	-12.62	0	0	1798	220	0	0	0	10
diesel	769	-6.86	0	0	1545	1013	0	0	0	6
sejalan	769	-6.26	2	2	1798	509	0	0	0	7
koperasi	769	-7.43	0	1	1667	282	0	0	0	8
penyihir	769	-8.85	0	0	2240	1205	0	0	0	8
cat	768	-3.85	44	48	699	157	0	0	0	3
pintar	768	-6.34	2	2	2240	94	0	0	0	6
budidaya	768	-7.8	0	0	1627	141	0	0	0	8
nol	768	-4.46	28	30	424	62	0	0	0	3
sophronica	767	-11.33	0	0	1798	98	0	0	0	10
kekasih	767	-7.57	0	0	1667	655	0	0	0	7
grafik	767	-6.52	2	3	526	54	0	0	0	6
perpindahan	767	-8.97	0	0	2240	1205	0	0	0	11
membangkitkan	767	-9.7	0	0	2321	1359	0	0	0	13
lambung	767	-6.31	8	8	646	192	0	0	0	7
alan	766	-3.72	22	31	1084	136	0	0	0	4
diusulkan	766	-7.68	0	0	1545	1013	0	0	0	9
bilang	765	-5.49	14	16	1627	116	0	0	0	6
syaikh	765	-8.81	2	2	1798	39	0	0	0	6
copris	765	-7.2	0	0	699	157	0	0	0	6
kenal	765	-5.23	10	13	1667	655	0	0	0	5
mengandalkan	765	-8.44	0	0	2321	1359	0	0	0	12
menunjukan	765	-7.81	0	0	2321	1359	0	0	0	10
kec	765	-4.42	16	19	1667	655	0	0	0	3
what	765	-6.06	4	6	311	11	0	0	0	4
persembahan	765	-7.89	0	0	2240	1205	0	0	0	11
memerankan	765	-8.34	0	0	2321	1359	0	0	0	10
bohemia	765	-9.11	0	0	1627	114	0	0	0	7
benang	765	-5.37	20	21	1627	752	0	0	0	6
po	764	-3.66	80	92	2240	127	127	127	127	2
ron	764	-3.61	52	57	707	101	0	0	0	3
diplomatik	764	-9.96	0	0	1545	1013	0	0	0	10
peduli	764	-7.19	0	0	2240	1205	0	0	0	6
ala	764	-3.77	34	57	1084	136	0	0	0	3
akting	764	-5.92	4	4	1084	70	0	0	0	6
paser	764	-6.04	10	11	2240	359	0	0	0	5
pacar	763	-5.39	8	8	2240	359	0	0	0	5
iskandar	763	-8.33	0	0	443	48	0	0	0	8
tahapan	763	-6.99	2	2	1272	243	0	0	0	7
back	763	-4.68	16	18	1627	341	0	0	0	4
banggai	762	-6.47	2	3	1627	341	0	0	0	7
permohonan	762	-9.18	0	0	2240	1205	0	0	0	10
leptogaster	762	-12.73	0	0	646	147	0	0	0	11
geometri	762	-9.99	0	0	526	114	0	0	0	8
menyimpulkan	762	-9.44	0	0	2321	1359	0	0	0	12
paman	762	-5.0	18	19	2240	359	0	0	0	5
bimbingan	762	-8.72	0	0	1627	116	0	0	0	9
kedelapan	762	-8.45	0	0	1667	655	0	0	0	9
punk	762	-5.92	8	9	2240	105	0	0	0	4
stephen	761	-9.57	0	0	1798	126	0	0	0	7
irigasi	761	-7.99	2	2	443	29	0	0	0	7
gundam	761	-6.61	0	0	526	72	0	0	0	6
express	761	-8.16	0	0	404	20	0	0	0	7
berfokus	761	-8.23	0	0	1627	752	0	0	0	8
menyerbu	761	-7.67	0	0	2321	1359	0	0	0	8
josé	760	-6.46	4	4	385	51	0	0	0	4
kekristenan	760	-10.77	0	0	1667	655	0	0	0	11
perselisihan	760	-9.88	0	0	2240	1205	0	0	0	12
sumpah	760	-6.28	2	2	1798	220	0	0	0	6
sc	760	-4.28	92	96	1798	30	30	30	30	2
sedih	760	-5.76	0	0	1798	509	0	0	0	5
bertepatan	760	-8.48	0	0	1627	752	0	0	0	10
polri	759	-6.29	0	1	2240	127	0	0	0	5
puas	759	-5.26	12	14	2240	105	0	0	0	4
mengontrol	759	-9.53	0	0	2321	1359	0	0	0	10
